Item Code,Item Name,HSN/SAC,Item Group
INDUSTRIAL FAN 30INCH 750MM  WALL MOUNT FAN - ALMONARD MAKE,INDUSTRIAL FAN 30INCH 750MM  WALL MOUNT FAN - ALMONARD MAKE,90319000,Capital Goods
LOCKER,LOCKER,90319000,Capital Goods
MACHINE,MACHINE,90319000,Capital Goods
HYDRO PNEUMATIC CYLINDER,HYDRO PNEUMATIC CYLINDER,90319000,Capital Goods
UPS SYSTEM,UPS SYSTEM,90319000,Capital Goods
AUTO K400 MIG WELDING M/C,AUTO K400 MIG WELDING M/C,90319000,Capital Goods
SERVO MOTOR,SERVO MOTOR,90319000,Capital Goods
EXHAUST SYSTEM,EXHAUST SYSTEM,90319000,Capital Goods
MS WELDED MESH 30MMX30MMX13 SWG - (4 FT. X 50 FT) ROLL,MS WELDED MESH 30MMX30MMX13 SWG - (4 FT. X 50 FT) ROLL,90319000,Capital Goods
PEDESTAL,PEDESTAL,90319000,Capital Goods
SINGLE HEAD MATRIX  LUNA 500 SAW,SINGLE HEAD MATRIX  LUNA 500 SAW,90319000,Capital Goods
DIE,DIE,90319000,Capital Goods
PLATE,PLATE,90319000,Capital Goods
MS ZINC PLATED ROLLER,MS ZINC PLATED ROLLER,90319000,Capital Goods
SPLIT AC,SPLIT AC,90319000,Capital Goods
HYDRAULLIC HAND PALLET TROLLEY - 1150X550,HYDRAULLIC HAND PALLET TROLLEY - 1150X550,90319000,Capital Goods
MS SQUARE TUBE,MS SQUARE TUBE,90319000,Capital Goods
FACILITY CHARGES FOR 4 MINI BULK & PIPING INSTALLATION SYSTEM,FACILITY CHARGES FOR 4 MINI BULK & PIPING INSTALLATION SYSTEM,90319000,Capital Goods
Motoman Robot Model : 2010-AS PER ANNEXURE,Motoman Robot Model : 2010-AS PER ANNEXURE,90319000,Capital Goods
APFC PANNEL,APFC PANNEL,90319000,Capital Goods
BLOWER,BLOWER,90319000,Capital Goods
3 HP VERTICLE DRILL MACHINE HEAVY DUTY,3 HP VERTICLE DRILL MACHINE HEAVY DUTY,90319000,Capital Goods
CHEQUERED PLATE,CHEQUERED PLATE,90319000,Capital Goods
ROLLER,ROLLER,90319000,Capital Goods
PLAIN SHEET,PLAIN SHEET,90319000,Capital Goods
ALUMINIUM SECTION,ALUMINIUM SECTION,90319000,Capital Goods
PARTICAL BOARD,PARTICAL BOARD,90319000,Capital Goods
HARDWARE MATERIAL,HARDWARE MATERIAL,90319000,Capital Goods
TABLE,TABLE,90319000,Capital Goods
FRONIUS POWER SOURCE MODEL -TPS 400I,FRONIUS POWER SOURCE MODEL -TPS 400I,90319000,Capital Goods
POWDER COATING CHARGES,POWDER COATING CHARGES,90319000,Capital Goods
DEGREE CUTTING MACHINE,DEGREE CUTTING MACHINE,90319000,Capital Goods
CUPBOARD,CUPBOARD,90319000,Capital Goods
WHITE PLAIN GLASS,WHITE PLAIN GLASS,90319000,Capital Goods
EXTRUSION MOULD,EXTRUSION MOULD,90319000,Capital Goods
INDUCTION MOTOR,INDUCTION MOTOR,90319000,Capital Goods
LM GUIDE,LM GUIDE,90319000,Capital Goods
GI DUCT,GI DUCT,90319000,Capital Goods
GI HOOD,GI HOOD,90319000,Capital Goods
MS STAND,MS STAND,90319000,Capital Goods
TROLLEY,TROLLEY,90319000,Capital Goods
WORKSTATION,WORKSTATION,90319000,Capital Goods
KEYBOARD TRAY,KEYBOARD TRAY,90319000,Capital Goods
REFRIGERATOR,REFRIGERATOR,90319000,Capital Goods
EXIDE MAKE 12V/42 AH SMF BATTERY,EXIDE MAKE 12V/42 AH SMF BATTERY,90319000,Capital Goods
BATTERY RACK,BATTERY RACK,90319000,Capital Goods
SAMSUNG REFRIGERATOR,SAMSUNG REFRIGERATOR,90319000,Capital Goods
FORKLIFT,FORKLIFT,90319000,Capital Goods
